id;provider_name;issue_date;expiry_date;policy_document;policy_document_content_type;coverage_statement
1;indigo auxiliary;2019-11-21;2019-11-21;../fake-data/blob/hipster.png;image/png;synergize
2;JSON National;2019-11-21;2019-11-21;../fake-data/blob/hipster.png;image/png;capacitor Path
3;Grocery;2019-11-21;2019-11-22;../fake-data/blob/hipster.png;image/png;Towels
4;Table Automotive;2019-11-21;2019-11-21;../fake-data/blob/hipster.png;image/png;Indiana deposit Electronics
5;Bedfordshire Strategist;2019-11-21;2019-11-22;../fake-data/blob/hipster.png;image/png;applications Awesome
6;Hat matrices application;2019-11-21;2019-11-21;../fake-data/blob/hipster.png;image/png;indigo National
7;Expressway;2019-11-21;2019-11-22;../fake-data/blob/hipster.png;image/png;Street New Jersey
8;reciprocal;2019-11-21;2019-11-21;../fake-data/blob/hipster.png;image/png;Malaysia supply-chains
9;Borders hack;2019-11-22;2019-11-22;../fake-data/blob/hipster.png;image/png;SDD Mobility
10;didactic Dynamic;2019-11-21;2019-11-21;../fake-data/blob/hipster.png;image/png;Industrial Pizza bus
