id;order_number;description;shipment_number;bol;pickup;jhi_drop;pickup_location;drop_location;current_location;status;detention;chasis_in_time;pod;pod_content_type;hazmat;recieved_by;covered_by;load_type;container_size;numbers_of_container;comments
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2019-11-22;2019-11-22;transmitter Implementation Electronics;Soap methodology Albania;Home Namibia;ONROAD;23277;2019-11-21T18:50:16;../fake-data/blob/hipster.png;image/png;YES;Cambridgeshire Mississippi;OwnerOperator;REEFER;C53;9767;Nakfa
2;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;2019-11-22;2019-11-22;synthesizing Views e-enable;Credit Card Account National Awesome;Aruba;INVOICED;58675;2019-11-21T21:13:16;../fake-data/blob/hipster.png;image/png;NO;Small;CompanyDriver;FLATBED;C43;11586;IB Investment Account archive
3;envisioneer;moratorium pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;2019-11-21;2019-11-22;system Small;Intelligent Outdoors;Harbor Montana;INVOICED;20306;2019-11-22T00:17:32;../fake-data/blob/hipster.png;image/png;NO;virtual deposit;OwnerOperator;FLATBED;C53;22793;synergies copying
4;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania;2019-11-21;2019-11-21;Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;PICKEDUP;68070;2019-11-22T02:18:21;../fake-data/blob/hipster.png;image/png;YES;Bulgarian Lev navigate;OwnerOperator;FLATBED;C53;32078;magenta Refined Rubber Gloves
5;red firewall open-source;deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;2019-11-21;2019-11-21;Profound;parsing;Borders content-based;DELIVERED;18870;2019-11-21T21:38:48;../fake-data/blob/hipster.png;image/png;NO;Internal AI optical;OwnerOperator;LTL;C53;54873;Cayman Islands Dollar invoice
6;Fish;Networked;Fish;payment calculating;2019-11-21;2019-11-21;Benin Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;DELIVERED;66892;2019-11-21T17:57:46;../fake-data/blob/hipster.png;image/png;YES;deposit Chips Applications;OwnerOperator;LTL;C53;31692;Pants Maryland
7;calculating Intranet Ergonomic Concrete Soap;Director Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;2019-11-21;2019-11-21;Personal Loan Account Sleek Beauty;digital deposit;extend Unbranded Fresh Pants Tools;PICKEDUP;32815;2019-11-21T18:36:32;../fake-data/blob/hipster.png;image/png;YES;Utah Computers Small Fresh Gloves;OwnerOperator;LTL;C43;54063;deposit panel Strategist
8;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;2019-11-21;2019-11-21;Rustic Frozen Keyboard ROI;Benin;Tuna Response invoice;DELIVERED;73003;2019-11-21T19:42:47;../fake-data/blob/hipster.png;image/png;YES;hack;CompanyDriver;REEFER;C20;49161;Hollow Shoes systems
9;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;payment Soap;2019-11-22;2019-11-21;Solutions COM;Data North Dakota;North Carolina Granite;INVOICED;65148;2019-11-21T08:03:18;../fake-data/blob/hipster.png;image/png;YES;Fantastic;CompanyDriver;FLATBED;C43;11816;Rupiah Personal Loan Account HTTP
10;schemas Specialist China;quantify multi-byte;interface Cotton Robust;user-centric Infrastructure;2019-11-21;2019-11-22;Dobra application;Fantastic;Liechtenstein Buckinghamshire monetize;ONROAD;5348;2019-11-22T05:31:23;../fake-data/blob/hipster.png;image/png;NO;Applications Missouri deposit;OwnerOperator;REEFER;C20;5755;Austria mindshare EXE
